Date,Open,High,Low,Close,Volume,Adj Close
1990-01-10,406.0,406.25,403.25,405.5,10000,405.5
1990-01-11,406.75,407.0,403.25,404.5,10000,404.5
1990-01-12,406.75,406.75,400.75,402.0,10000,402.0
1990-01-15,401.25,401.5,397.75,399.0,10000,399.0
1990-01-16,399.5,401.0,397.75,398.0,10000,398.0
1990-01-17,397.5,401.0,397.5,401.0,10000,401.0
1990-01-18,402.0,402.0,396.25,397.5,10000,397.5
1990-01-19,397.0,397.0,392.0,392.0,10000,392.0
1990-01-22,391.75,394.0,391.25,392.5,10000,392.5
1990-01-23,393.0,393.75,391.5,393.0,10000,393.0
1990-01-24,391.75,393.5,391.5,391.5,10000,391.5
1990-01-25,389.75,390.0,384.25,386.0,10000,386.0
1990-01-26,385.0,386.25,381.0,381.0,10000,381.0
1990-01-29,381.5,382.25,371.75,379.0,10000,379.0
1990-01-30,380.0,380.0,375.5,376.0,10000,376.0
1990-01-31,376.75,379.0,375.0,375.5,10000,375.5
1990-02-01,375.5,377.25,373.5,374.75,10000,374.75
1990-02-02,374.75,379.5,374.5,379.5,10000,379.5
1990-02-05,381.5,383.5,380.5,383.0,10000,383.0
1990-02-06,382.0,384.25,381.25,382.5,10000,382.5
1990-02-07,384.0,384.75,382.75,382.75,10000,382.75
1990-02-08,382.75,383.0,380.5,382.5,10000,382.5
1990-02-09,383.5,388.0,383.5,387.0,10000,387.0
1990-02-12,388.25,390.25,387.5,390.0,10000,390.0
1990-02-13,389.0,389.25,385.25,385.5,10000,385.5
1990-02-14,384.0,387.75,383.0,387.0,10000,387.0
1990-02-15,388.25,389.0,384.5,386.25,10000,386.25
1990-02-16,386.25,387.75,383.5,383.5,10000,383.5
1990-02-20,382.0,383.5,381.0,382.0,10000,382.0
1990-02-21,380.75,384.5,380.25,384.5,10000,384.5
1990-02-22,383.972565158,388.192043896,383.708847737,386.082304527,10000,386.082304527
1990-02-23,385.554869684,386.87345679,384.236282579,386.87345679,10000,386.87345679
1990-02-26,386.609739369,387.400891632,385.291152263,386.082304527,10000,386.082304527
1990-02-27,385.818587106,386.082304527,381.862825789,383.181412894,10000,383.181412894
1990-02-28,383.445130316,384.236282579,381.862825789,381.862825789,10000,381.862825789
1990-03-01,381.335390947,381.335390947,376.588477366,376.588477366,10000,376.588477366
1990-03-02,376.324759945,378.698216735,374.478737997,375.00617284,10000,375.00617284
1990-03-05,373.423868313,374.215020576,370.259259259,370.52297668,10000,370.52297668
1990-03-06,370.259259259,373.951303155,369.995541838,369.995541838,10000,369.995541838
1990-03-07,369.995541838,372.896433471,369.995541838,372.368998628,10000,372.368998628
1990-03-08,371.314128944,375.00617284,371.314128944,375.00617284,10000,375.00617284
1990-03-09,373.951303155,374.215020576,371.841563786,372.896433471,10000,372.896433471
1990-03-12,371.314128944,372.105281207,368.676954733,372.105281207,10000,372.105281207
1990-03-13,371.050411523,372.368998628,367.358367627,367.885802469,10000,367.885802469
1990-03-14,367.622085048,370.259259259,366.303497942,370.259259259,10000,370.259259259
1990-03-15,369.995541838,372.896433471,369.995541838,371.841563786,10000,371.841563786
1990-03-16,373.423868313,373.951303155,371.841563786,373.687585734,10000,373.687585734
1990-03-19,373.687585734,378.698216735,373.687585734,378.698216735,10000,378.698216735
1990-03-20,380.280521262,381.335390947,378.434499314,380.544238683,10000,380.544238683
