Date,Open,High,Low,Close,Volume,Adj Close
1996-05-01,617.840146558,639.255749558,613.557025958,639.255749558,10000,639.255749558
1996-05-02,652.105111358,659.600572408,607.132345058,607.132345058,10000,607.132345058
1996-05-03,612.486245808,617.840146558,593.212203107,601.778444307,10000,601.778444307
1996-05-06,611.415465658,611.415465658,589.999862657,595.889153482,10000,595.889153482
1996-05-07,595.353763407,612.486245808,595.353763407,611.415465658,10000,611.415465658
1996-05-08,622.123267158,632.831068658,619.981706858,632.831068658,10000,632.831068658
1996-05-09,649.963551058,649.963551058,633.901848808,639.255749558,10000,639.255749558
1996-05-10,624.264827458,634.972628958,618.910926708,621.052487008,10000,621.052487008
1996-05-13,631.760288508,632.295678583,622.123267158,629.618728208,10000,629.618728208
1996-05-14,623.194047308,625.870997683,613.557025958,624.532522495,10000,624.532522495
1996-05-15,628.547948058,630.689508358,621.052487008,623.461742345,10000,623.461742345
1996-05-16,625.870997683,625.870997683,611.415465658,618.910926708,10000,618.910926708
1996-05-17,623.194047308,637.114189258,621.587877083,630.689508358,10000,630.689508358
1996-05-20,621.052487008,631.224898433,618.910926708,626.406387758,10000,626.406387758
1996-05-21,633.901848808,634.972628958,616.233976333,617.037061445,10000,617.037061445
1996-05-22,616.769366408,619.981706858,597.495323707,602.58152942,10000,602.58152942
1996-05-23,601.778444307,604.990784758,594.818373332,599.101493932,10000,599.101493932
1996-05-24,599.101493932,602.313834382,596.959933632,600.707664157,10000,600.707664157
1996-05-28,603.384614533,603.384614533,579.292061157,584.645961907,10000,584.645961907
1996-05-29,583.575181757,584.645961907,563.230358907,563.230358907,10000,563.230358907
1996-05-30,561.624188682,567.513479507,556.270287932,563.498053945,10000,563.498053945
1996-05-31,563.765748982,566.442699357,557.341068082,566.17500432,10000,566.17500432
1996-06-03,553.593337557,557.876458157,544.759401319,557.876458157,10000,557.876458157
1996-06-04,557.341068082,557.341068082,536.460855157,536.460855157,10000,536.460855157
1996-06-05,534.319294857,534.319294857,522.540713207,523.343798319,10000,523.343798319
1996-06-06,522.005323131,541.814755907,522.005323131,529.233089144,10000,529.233089144
1996-06-07,533.248514707,540.208585682,531.106954407,537.799330344,10000,537.799330344
1996-06-10,547.168656657,557.876458157,546.097876507,556.270287932,10000,556.270287932
1996-06-11,557.876458157,560.018018457,534.854684932,545.027096357,10000,545.027096357
1996-06-12,538.067025382,542.885536057,527.894613957,529.500784182,10000,529.500784182
1996-06-13,523.611493357,542.350145982,523.611493357,540.476280719,10000,540.476280719
1996-06-14,540.743975757,540.743975757,530.571564332,531.106954407,10000,531.106954407
1996-06-17,536.460855157,540.743975757,526.823833807,526.823833807,10000,526.823833807
1996-06-18,526.823833807,542.885536057,526.823833807,538.067025382,10000,538.067025382
1996-06-19,535.390075007,535.925465082,527.359223882,528.430004032,10000,528.430004032
1996-06-20,523.076103282,525.753053657,518.257592606,522.005323131,10000,522.005323131
1996-06-21,523.611493357,528.430004032,522.540713207,526.020748694,10000,526.020748694
1996-06-24,525.217663582,538.067025382,524.682273507,533.259137526,10000,533.259137526
1996-06-25,532.72905886,540.150160178,532.198980195,534.054255524,10000,534.054255524
1996-06-26,530.608744198,532.198980195,525.572996875,525.572996875,10000,525.572996875
1996-06-27,524.247800212,525.838036208,510.995833573,511.525912239,10000,511.525912239
1996-06-28,509.935676242,516.296620229,502.514574925,511.525912239,10000,511.525912239
1996-07-01,513.646226901,529.018508201,508.875518911,518.416934891,10000,518.416934891
1996-07-02,510.995833573,516.296620229,503.574732256,504.104810921,10000,504.104810921
1996-07-03,501.984496259,510.995833573,501.984496259,508.080400913,10000,508.080400913
1996-07-05,502.514574925,509.935676242,501.454417594,501.984496259,10000,501.984496259
1996-07-08,507.285282915,512.58606957,504.634889587,506.225125583,10000,506.225125583
1996-07-09,511.525912239,524.777878877,509.405597577,520.537249553,10000,520.537249553
1996-07-10,520.537249553,522.657564215,516.826698894,521.597406884,10000,521.597406884
1996-07-11,525.838036208,542.800553505,525.838036208,536.439609519,10000,536.439609519
1996-07-12,534.849373522,549.161497492,529.018508201,531.138822863,10000,531.138822863
1996-07-15,523.717721546,531.668901529,520.537249553,522.127485549,10000,522.127485549
1996-07-16,522.657564215,523.18764288,507.285282915,512.321030237,10000,512.321030237
1996-07-17,506.225125583,513.646226901,501.454417594,509.935676242,10000,509.935676242
1996-07-18,505.695046918,515.236462897,502.514574925,503.574732256,10000,503.574732256
1996-07-19,503.574732256,505.695046918,486.082136293,487.142293624,10000,487.142293624
1996-07-22,487.142293624,491.913001614,485.021978962,488.202450955,10000,488.202450955
1996-07-23,490.852844283,490.852844283,477.070798979,481.046388971,10000,481.046388971
1996-07-24,476.010641648,477.600877645,466.469225669,467.529383,10000,467.529383
1996-07-25,462.228596344,470.709854993,460.108281682,470.44481566,10000,470.44481566
1996-07-26,471.239933658,471.239933658,453.747337696,460.638360348,10000,460.638360348
1996-07-29,461.168439013,470.709854993,460.638360348,470.44481566,10000,470.44481566
1996-07-30,474.950484317,474.950484317,463.288753675,464.613950339,10000,464.613950339
